#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
617,XIN SHUN,9252199,Odesa,The Netherlands,Sunflower seed,10600,1/1/2023,1/8/2023,:nl:,developed,developed,High income,52,January
616,PANTHER MAX,9593402,Yuzhny/Pivdennyi,Israel,Corn,68390,1/1/2023,1/11/2023,:il:,developed,developed,High income,52,January
615,HONORINE,9146874,Odesa,Tunisia,Corn,27500,1/1/2023,1/12/2023,:tn:,developing,other developing,Lower middle income,52,January
614,GAT FEELING,9467615,Chornomorsk,Spain,Wheat,31600,1/1/2023,1/8/2023,:es:,developed,developed,High income,52,January
613,CHRYSSA K,9595852,Yuzhny/Pivdennyi,China,Corn,69170,1/1/2023,1/9/2023,:cn:,developing,other developing,Upper middle income,52,January
612,WHITE FIN,9607291,Odesa,China,Corn,52700,12/31/2022,1/9/2023,:cn:,developing,other developing,Upper middle income,52,December
611,POPI S,9527233,Chornomorsk,Belgium,Corn,62430,12/31/2022,1/11/2023,:be:,developed,developed,High income,52,December
610,SEYMA,9596777,Yuzhny/Pivdennyi,United Kingdom,Sunflower oil,5915,12/30/2022,1/6/2023,:gb:,developed,developed,High income,52,December
609,PANJALI TEYMUROV,9575333,Chornomorsk,Tunisia,Vegetable oil,3300,12/29/2022,1/7/2023,:tn:,developing,other developing,Lower middle income,52,December
609,PANJALI TEYMUROV,9575333,Chornomorsk,Tunisia,Soya oil,2970,12/29/2022,1/7/2023,:tn:,developing,other developing,Lower middle income,52,December
608,NEW VICTORY,9159050,Yuzhny/Pivdennyi,Tunisia,Barley,23500,12/29/2022,1/7/2023,:tn:,developing,other developing,Lower middle income,52,December
607,AILEEN,9214252,Chornomorsk,Morocco,Sunflower meal,12300,12/29/2022,1/6/2023,:ma:,developing,other developing,Lower middle income,52,December
606,ZEINAB,9070424,Chornomorsk,Tunisia,Wheat,25000,12/28/2022,1/7/2023,:tn:,developing,other developing,Lower middle income,52,December
605,VALSAMITIS,9629823,Chornomorsk,Spain,Wheat,15872,12/28/2022,1/5/2023,:es:,developed,developed,High income,52,December
605,VALSAMITIS,9629823,Chornomorsk,Spain,Corn,16580,12/28/2022,1/5/2023,:es:,developed,developed,High income,52,December
604,SUPER MARTINELLI,9542831,Odesa,Spain,Wheat,33500,12/28/2022,1/9/2023,:es:,developed,developed,High income,52,December
603,SUMMER LADY,9184938,Yuzhny/Pivdennyi,Spain,Corn,53500,12/28/2022,1/5/2023,:es:,developed,developed,High income,52,December
603,SUMMER LADY,9184938,Yuzhny/Pivdennyi,Spain,Wheat,9900,12/28/2022,1/5/2023,:es:,developed,developed,High income,52,December
602,LUCKY,9037305,Odesa,Spain,Sunflower meal,5500,12/28/2022,1/6/2023,:es:,developed,developed,High income,52,December
601,INOI,9400928,Chornomorsk,Italy,Corn,17004,12/28/2022,1/9/2023,:it:,developed,developed,High income,52,December
601,INOI,9400928,Chornomorsk,Italy,Wheat,7030,12/28/2022,1/9/2023,:it:,developed,developed,High income,52,December
601,INOI,9400928,Chornomorsk,Italy,Soya beans,6700,12/28/2022,1/9/2023,:it:,developed,developed,High income,52,December
600,GREEN K-MAX2,9838060,Yuzhny/Pivdennyi,China,Corn,71970,12/28/2022,1/7/2023,:cn:,developing,other developing,Upper middle income,52,December
599,PLEVNE,9340908,Odesa,Italy,Sunflower oil,7150,12/27/2022,12/31/2022,:it:,developed,developed,High income,52,December
598,MONTARA,9234202,Odesa,Tunisia,Corn,32000,12/27/2022,1/6/2023,:tn:,developing,other developing,Lower middle income,52,December
597,MAROULIO S,9493511,Chornomorsk,China,Corn,63367,12/27/2022,12/31/2022,:cn:,developing,other developing,Upper middle income,52,December
596,LUGANO,9132662,Chornomorsk,Italy,Corn,27000,12/27/2022,1/5/2023,:it:,developed,developed,High income,52,December
595,KIRAN ADRIATIC,9653185,Chornomorsk,China,Corn,55000,12/27/2022,12/31/2022,:cn:,developing,other developing,Upper middle income,52,December
594,EUROCHAMPION,9895903,Yuzhny/Pivdennyi,India,Sunflower oil,45000,12/26/2022,12/31/2022,:in:,developing,other developing,Lower middle income,52,December
593,ALANDA STAR,9189677,Chornomorsk,Egypt,Wheat,30800,12/26/2022,1/4/2023,:eg:,developing,other developing,Lower middle income,52,December
592,SSI PRIVILEGE,9848089,Chornomorsk,Indonesia,Wheat,59010,12/25/2022,1/3/2023,:id:,developing,other developing,Lower middle income,51,December
591,PROFESSOR B,8401523,Odesa,Egypt,Soya beans,10997,12/25/2022,1/4/2023,:eg:,developing,other developing,Lower middle income,51,December
591,PROFESSOR B,8401523,Odesa,Egypt,Sunflower meal,1503,12/25/2022,1/4/2023,:eg:,developing,other developing,Lower middle income,51,December
590,PHAIDRA,9661211,Yuzhny/Pivdennyi,China,Corn,72600,12/25/2022,1/15/2023,:cn:,developing,other developing,Upper middle income,51,December
589,GLORY,9288473,Chornomorsk,China,Corn,65970,12/25/2022,1/3/2023,:cn:,developing,other developing,Upper middle income,51,December
588,FANEROMENI,9343857,Yuzhny/Pivdennyi,China,Corn,71500,12/25/2022,12/31/2022,:cn:,developing,other developing,Upper middle income,51,December
587,AMANO T,9117832,Odesa,Egypt,Corn,25000,12/25/2022,1/15/2023,:eg:,developing,other developing,Lower middle income,51,December
586,VALERIO,9244037,Odesa,Spain,Wheat,26200,12/24/2022,1/1/2023,:es:,developed,developed,High income,51,December
585,HAJE ZAINAB,8025381,Odesa,Italy,Soya beans,8100,12/24/2022,1/3/2023,:it:,developed,developed,High income,51,December
584,ANTONIA S,9591088,Odesa,Spain,Corn,66500,12/24/2022,12/30/2022,:es:,developed,developed,High income,51,December
583,ZOI XL,9326275,Yuzhny/Pivdennyi,Spain,Wheat,71500,12/23/2022,1/14/2023,:es:,developed,developed,High income,51,December
582,EVOIKOS THEO,9204685,Chornomorsk,Spain,Corn,26500,12/23/2022,12/30/2022,:es:,developed,developed,High income,51,December
582,EVOIKOS THEO,9204685,Chornomorsk,Spain,Wheat,38700,12/23/2022,12/30/2022,:es:,developed,developed,High income,51,December
