#,Vessel name,IMO,Departure port,Country,Commodity,Tonnage,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
199,NIL DEMIR,8003814,Chornomorsk,Türkiye,Peas,3700,9/23/2022,10/4/2022,:tr:,developing,other developing,Upper middle income,38,September
200,OLMA,8004806,Chornomorsk,Türkiye,Soya beans,5150,9/23/2022,10/3/2022,:tr:,developing,other developing,Upper middle income,38,September
201,SEA DOVE,8202525,Chornomorsk,Italy,Corn,33000,9/23/2022,10/9/2022,:it:,developed,developed,High income,38,September
202,TZAREVICH,9145229,Chornomorsk,Bulgaria,Sunflower meal,10000,9/23/2022,10/6/2022,:bg:,developed,developed,Upper middle income,38,September
203,ZEKO Y,8027573,Odesa,Türkiye,Wheat,8200,9/23/2022,10/3/2022,:tr:,developing,other developing,Upper middle income,38,September
204,BAHAR K,8884555,Chornomorsk,Türkiye,Soya beans,7700,9/24/2022,10/7/2022,:tr:,developing,other developing,Upper middle income,38,September
205,DANO,8609175,Odesa,Türkiye,Wheat,6600,9/24/2022,10/14/2022,:tr:,developing,other developing,Upper middle income,38,September
206,DS SOFIE BULKER,9310604,Odesa,Spain,Barley,10650,9/24/2022,10/5/2022,:es:,developed,developed,High income,38,September
206,DS SOFIE BULKER,9310604,Odesa,Spain,Corn,6200,9/24/2022,10/5/2022,:es:,developed,developed,High income,38,September
206,DS SOFIE BULKER,9310604,Odesa,Spain,Wheat,10950,9/24/2022,10/5/2022,:es:,developed,developed,High income,38,September
207,GANOSAYA,9151400,Odesa,Libya,Barley,15000,9/24/2022,10/9/2022,:ly:,developing,other developing,Upper middle income,38,September
208,MUBARIZ IBRAHIMOV,9575292,Odesa,Italy,Sunflower oil,6000,9/24/2022,10/5/2022,:it:,developed,developed,High income,38,September
209,SAXONA,9371024,Chornomorsk,Greece,Corn,5000,9/24/2022,10/5/2022,:gr:,developed,developed,High income,38,September
210,ASPASIA LUCK,9223485,Yuzhny/Pivdennyi,Spain,Corn,63029,9/25/2022,10/9/2022,:es:,developed,developed,High income,38,September
211,ATA-2,9387669,Yuzhny/Pivdennyi,Italy,Corn,5960,9/25/2022,10/13/2022,:it:,developed,developed,High income,38,September
212,BLUE STAR,8421705,Chornomorsk,Türkiye,Mixed bran,2000,9/25/2022,10/9/2022,:tr:,developing,other developing,Upper middle income,38,September
213,CHIOS FREEDOM,9680255,Odesa,The Netherlands,Rapeseed,32700,9/25/2022,10/8/2022,:nl:,developed,developed,High income,38,September
214,CORNELIA,9216597,Chornomorsk,Tunisia,Wheat,23500,9/25/2022,10/14/2022,:tn:,developing,other developing,Lower middle income,38,September
215,HERMES,9071052,Chornomorsk,Greece,Wheat,5029,9/25/2022,10/8/2022,:gr:,developed,developed,High income,38,September
216,MOONLIGHT,9536301,Odesa,Georgia,Soya beans,6000,9/25/2022,10/8/2022,:ge:,developing,other developing,Upper middle income,38,September
217,STELLAR LADY,9574004,Chornomorsk,Belgium,Rapeseed,39763,9/25/2022,10/9/2022,:be:,developed,developed,High income,38,September
218,SUPER MARTINELLI,9542831,Chornomorsk,Algeria,Wheat,31500,9/25/2022,10/7/2022,:dz:,developing,other developing,Lower middle income,38,September
219,KARTERIA,9236092,Yuzhny/Pivdennyi,The Netherlands,Corn,46130,9/26/2022,10/11/2022,:nl:,developed,developed,High income,39,September
220,MAINLAND,9431056,Odesa,Türkiye,Sunflower oil,7250,9/26/2022,10/9/2022,:tr:,developing,other developing,Upper middle income,39,September
221,NEW FAITH,9191034,Odesa,Türkiye,Corn,28193,9/26/2022,10/10/2022,:tr:,developing,other developing,Upper middle income,39,September
222,USICHEM,9344344,Odesa,Spain,Sunflower oil,6600,9/26/2022,10/10/2022,:es:,developed,developed,High income,39,September
223,CHIOS SUNRISE,9639907,Odesa,Spain,Wheat,11000,9/27/2022,10/11/2022,:es:,developed,developed,High income,39,September
223,CHIOS SUNRISE,9639907,Odesa,Spain,Corn,42600,9/27/2022,10/11/2022,:es:,developed,developed,High income,39,September
224,IRENE MADIAS,9567154,Yuzhny/Pivdennyi,Republic of Korea,Corn,60000,9/27/2022,10/14/2022,:kr:,developed,developed,High income,39,September
225,LEADER M,9217797,Yuzhny/Pivdennyi,Bulgaria,Sunflower pellets,8800,9/27/2022,10/14/2022,:bg:,developed,developed,Upper middle income,39,September
226,MARAN EXCELLENCE,9703241,Yuzhny/Pivdennyi,Spain,Barley,66000,9/27/2022,10/13/2022,:es:,developed,developed,High income,39,September
226,MARAN EXCELLENCE,9703241,Yuzhny/Pivdennyi,Spain,Wheat,32600,9/27/2022,10/13/2022,:es:,developed,developed,High income,39,September
226,MARAN EXCELLENCE,9703241,Yuzhny/Pivdennyi,Spain,Corn,16000,9/27/2022,10/13/2022,:es:,developed,developed,High income,39,September
227,NAZENIN,9545508,Chornomorsk,France,Rapeseed,30350,9/27/2022,10/14/2022,:fr:,developed,developed,High income,39,September
228,NIMET TORLAK,9282948,Chornomorsk,Türkiye,Wheat,17325,9/27/2022,10/12/2022,:tr:,developing,other developing,Upper middle income,39,September
229,NORD VIND,9573921,Odesa,Tunisia,Wheat,27250,9/27/2022,10/11/2022,:tn:,developing,other developing,Lower middle income,39,September
230,PEACE M,9086318,Odesa,Romania,Corn,24718,9/27/2022,10/11/2022,:ro:,developed,developed,High income,39,September
231,SARA,9259020,Odesa,Türkiye,Soya beans,8000,9/27/2022,10/5/2022,:tr:,developing,other developing,Upper middle income,39,September
232,ALMERAY,9300910,Yuzhny/Pivdennyi,Libya,Corn,32400,9/28/2022,10/14/2022,:ly:,developing,other developing,Upper middle income,39,September
233,DAYTONA DYNAMIC,8914726,Chornomorsk,Romania,Corn,26000,9/28/2022,10/14/2022,:ro:,developed,developed,High income,39,September
234,FREZYA S,9353022,Chornomorsk,Italy,Sunflower meal,5350,9/28/2022,10/12/2022,:it:,developed,developed,High income,39,September
235,MAGNUM FORTUNE,9488970,Chornomorsk,Bangladesh,Wheat,51175,9/28/2022,10/17/2022,:bd:,developing,least developed,Lower middle income,39,September
236,ADAM A,9114543,Yuzhny/Pivdennyi,Türkiye,Wheat,27700,9/29/2022,10/17/2022,:tr:,developing,other developing,Upper middle income,39,September
237,NAVIN KESTREL,9381811,Chornomorsk,Türkiye,Sunflower meal,5250,9/29/2022,10/17/2022,:tr:,developing,other developing,Upper middle income,39,September
238,PATRONUS,9320324,Chornomorsk,Tunisia,Wheat,27500,9/29/2022,10/22/2022,:tn:,developing,other developing,Lower middle income,39,September
239,BESIKTAS ICELAND,9395367,Odesa,Türkiye,Sunflower oil,6600,9/30/2022,10/15/2022,:tr:,developing,other developing,Upper middle income,39,September
240,BLUE ONE,9585651,Chornomorsk,Italy,Corn,32300,9/30/2022,10/23/2022,:it:,developed,developed,High income,39,September
241,ELEANORA,9211107,Yuzhny/Pivdennyi,Italy,Corn,6300,9/30/2022,10/17/2022,:it:,developed,developed,High income,39,September
242,AHMET CAN,9368182,Yuzhny/Pivdennyi,Greece,Wheat,3200,10/1/2022,10/20/2022,:gr:,developed,developed,High income,39,October
243,FORTUNE EXPRESS,9181728,Chornomorsk,Italy,Corn,27500,10/1/2022,10/18/2022,:it:,developed,developed,High income,39,October
244,IASOS,9233882,Yuzhny/Pivdennyi,Spain,Wheat,50800,10/1/2022,10/19/2022,:es:,developed,developed,High income,39,October
245,LADY DIVINA,9354052,Yuzhny/Pivdennyi,France,Sunflower meal,13200,10/1/2022,10/18/2022,:fr:,developed,developed,High income,39,October
246,PS DREAM,9358307,Chornomorsk,India,Sunflower oil,25000,10/1/2022,10/15/2022,:in:,developing,other developing,Lower middle income,39,October
247,QUEEN LILA,9303376,Odesa,Libya,Barley,29000,10/1/2022,10/24/2022,:ly:,developing,other developing,Upper middle income,39,October
248,STELLINA,9674933,Odesa,Spain,Wheat,25000,10/1/2022,10/16/2022,:es:,developed,developed,High income,39,October
249,BC RAEDA,9487598,Yuzhny/Pivdennyi,Spain,Wheat,24000,10/2/2022,10/18/2022,:es:,developed,developed,High income,39,October
250,DOGA K,9100530,Chornomorsk,Tunisia,Wheat,10000,10/2/2022,10/17/2022,:tn:,developing,other developing,Lower middle income,39,October
251,LILA II,9498315,Chornomorsk,Spain,Corn,32700,10/2/2022,10/23/2022,:es:,developed,developed,High income,39,October
252,RIZABEY,9197117,Odesa,Italy,Wheat,22923,10/2/2022,10/18/2022,:it:,developed,developed,High income,39,October
253,SANN TRO,9110315,Odesa,Spain,Wheat,26500,10/2/2022,10/19/2022,:es:,developed,developed,High income,39,October
254,FPMC B 201 ,9468229,Odesa,Spain,Corn,33000,10/3/2022,10/18/2022,:es:,developed,developed,High income,40,October
255,KALLIOPI S,9450844,Yuzhny/Pivdennyi,The Netherlands,Corn,33274,10/3/2022,10/23/2022,:nl:,developed,developed,High income,40,October
256,MICHALIS,9545510,Odesa,Portugal,Corn,18716,10/3/2022,10/19/2022,:pt:,developed,developed,High income,40,October
256,MICHALIS,9545510,Odesa,Portugal,Wheat,7757,10/3/2022,,:pt:,developed,developed,High income,40,October
256,MICHALIS,9545510,Odesa,Portugal,Barley,6834,10/3/2022,,:pt:,developed,developed,High income,40,October
257,NAVIN FALCON,9492933,Yuzhny/Pivdennyi,Italy,Wheat,6600,10/3/2022,10/23/2022,:it:,developed,developed,High income,40,October
258,NEW VICTORY,9159050,Yuzhny/Pivdennyi,Türkiye,Wheat,25500,10/3/2022,10/25/2022,:tr:,developing,other developing,Upper middle income,40,October
259,SAFFET AGA,9376282,Chornomorsk,Türkiye,Corn,3100,10/3/2022,10/21/2022,:tr:,developing,other developing,Upper middle income,40,October
260,SPRING,8408650,Chornomorsk,Egypt,Corn,8000,10/3/2022,10/21/2022,:eg:,developing,other developing,Lower middle income,40,October
261,ARGO 1,9583897,Chornomorsk,Egypt,Corn,31290,10/4/2022,10/27/2022,:eg:,developing,other developing,Lower middle income,40,October
262,BARON,7352476,Chornomorsk,Türkiye,Soya beans,5500,10/4/2022,10/23/2022,:tr:,developing,other developing,Upper middle income,40,October
263,BC CALLISTO,9400916,Chornomorsk,Algeria,Wheat,30450,10/4/2022,10/20/2022,:dz:,developing,other developing,Lower middle income,40,October
264,CHRYSSA K ,9595852,Yuzhny/Pivdennyi,The Netherlands,Corn,30000,10/4/2022,10/20/2022,:nl:,developed,developed,High income,40,October
264,CHRYSSA K ,9595852,Yuzhny/Pivdennyi,Germany,Corn,38000,10/4/2022,10/20/2022,:de:,developed,developed,High income,40,October
265,INANDI,8332100,Odesa,Türkiye,Barley,2750,10/4/2022,10/21/2022,:tr:,developing,other developing,Upper middle income,40,October
266,PRETTY LADY,9223174,Chornomorsk,United Kingdom,Rapeseed,41650,10/4/2022,10/20/2022,:gb:,developed,,High income,40,October
267,SAM,7510884,Odesa,Türkiye,Corn,3000,10/4/2022,10/25/2022,:tr:,developing,other developing,Upper middle income,40,October
268,SSI RELIANCE,9655224,Chornomorsk,Spain,Corn,33860,10/4/2022,10/23/2022,:es:,developed,developed,High income,40,October
269,BRIZA,9286815,Odesa,Italy,Soya beans,6600,10/5/2022,10/21/2022,:it:,developed,developed,High income,40,October
270,MRC LINA,9462299,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,7700,10/5/2022,,:tr:,developing,other developing,Upper middle income,40,October
271,NEW EXPLORER,9481489,Yuzhny/Pivdennyi,China,Sunflower meal,60000,10/5/2022,10/23/2022,:cn:,developing,other developing,Upper middle income,40,October
272,ANASTASIA,8926121,Chornomorsk,Türkiye,Wheat,3700,10/6/2022,10/27/2022,:tr:,developing,other developing,Upper middle income,40,October
273,FALCON S,9329423,Chornomorsk,Romania,Corn,33000,10/6/2022,,:ro:,developed,developed,High income,40,October
274,HASAN G,9136852,Yuzhny/Pivdennyi,Türkiye,Peas,6500,10/6/2022,,:tr:,developing,other developing,Upper middle income,40,October
275,MAGNOLIA,9575333,Chornomorsk,Türkiye,Sunflower oil,6600,10/6/2022,10/16/2022,:tr:,developing,other developing,Upper middle income,40,October
276,MERA,9148570,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,6300,10/6/2022,10/16/2022,:tr:,developing,other developing,Upper middle income,40,October
277,SEA STAR,7929619,Chornomorsk,Türkiye,Wheat,4950,10/6/2022,10/28/2022,:tr:,developing,other developing,Upper middle income,40,October
278,SERENITY IBTIHAJ,9364849,Chornomorsk,Israel,Corn,27200,10/6/2022,,:il:,developed,developed,High income,40,October
279,SILVER LADY,9279367,Chornomorsk,Spain,Wheat,49100,10/6/2022,10/22/2022,:es:,developed,developed,High income,40,October
280,UMIT G,9041124,Yuzhny/Pivdennyi,Greece,Wheat,4300,10/6/2022,,:gr:,developed,developed,High income,40,October
281,WHITE STAR,9381938,Odesa,Türkiye,Barley,7800,10/6/2022,,:tr:,developing,other developing,Upper middle income,40,October
